Gut Microbiota	DOID
Prevotella copri	Crohn's disease
Faecalibacterium prausnitzii	Crohn's disease
Eubacterium rectale	Crohn's disease
Bacteroides eggerthii	Crohn's disease
Bacteroides ovatus	Crohn's disease
Dialister invisus	Crohn's disease
Bacteroides uniformis	Crohn's disease
Ruminococcus bromii	Crohn's disease
Bacteroides coprocola	Crohn's disease
Bacteroides dorei	Crohn's disease
Bacteroides caccae	Crohn's disease
Alistipes putredinis	Crohn's disease
Ruminococcus sp.	Crohn's disease
Roseburia intestinalis	Crohn's disease
Odoribacter laneus	Crohn's disease
Eubacterium hallii	Crohn's disease
Roseburia inulinivorans	Crohn's disease
Bacteroides vulgatus	Crohn's disease
Dorea longicatena	Crohn's disease
Akkermansia muciniphila	Crohn's disease
Eubacterium eligens	Crohn's disease
Bacteroides stercoris	Crohn's disease
Bifidobacterium longum	Crohn's disease
Bifidobacterium adolescentis	Crohn's disease
Eubacterium ventriosum	Crohn's disease
Alistipes onderdonkii	Crohn's disease
Megamonas funiformis	Crohn's disease
Collinsella aerofaciens	Crohn's disease
Clostridium sp.	Crohn's disease
Coprococcus comes	Crohn's disease
Methanobrevibacter smithii	Crohn's disease
Blautia obeum	Crohn's disease
Parabacteroides merdae	Crohn's disease
Alistipes sp.	Crohn's disease
Eubacterium siraeum	Crohn's disease
Bacteroides plebeius	Crohn's disease
Bifidobacterium pseudocatenulatum	Crohn's disease
Clostridium leptum	Crohn's disease
Barnesiella intestinihominis	Crohn's disease
Ruminococcus lactaris	Crohn's disease
Odoribacter splanchnicus	Crohn's disease
Roseburia hominis	Crohn's disease
Bacteroides massiliensis	Crohn's disease
Bifidobacterium bifidum	Crohn's disease
Bacteroides xylanisolvens	Crohn's disease
Bacteroides intestinalis	Crohn's disease
Alistipes shahii	Crohn's disease
Dorea formicigenerans	Crohn's disease
Alistipes finegoldii	Crohn's disease
Parabacteroides distasonis	Crohn's disease
Burkholderiales bacterium 1_1_47	Crohn's disease
Eubacterium ramulus	Crohn's disease
Lachnospiraceae bacterium 1_1_57FAA	Crohn's disease
Ruminococcus callidus	Crohn's disease
Holdemanella biformis	Crohn's disease
Phascolarctobacterium succinatutens	Crohn's disease
Bacteroides finegoldii	Crohn's disease
Bacteroides cellulosilyticus	Crohn's disease
Parabacteroides sp.	Crohn's disease
Coprococcus catus	Crohn's disease
Anaerostipes hadrus	Crohn's disease
Bifidobacterium breve	Crohn's disease
Bifidobacterium catenulatum	Crohn's disease
Parabacteroides goldsteinii	Crohn's disease
