chemial1	chemial2	score
19	6212	0.257
19	5610	0.15
19	222	0.8
19	227	0.927
19	280	0.909
19	5601	0.166
19	547	0.156
19	6342	0.489
19	5143	0.163
19	283	0.308
19	289	0.964
19	311	0.269
19	335	0.672
19	338	0.748
19	3469	0.658
19	3776	0.173
19	6344	0.368
19	6396	0.172
19	66520	0.153
19	996	0.153
19	9958	0.195
19	978	0.671
19	947	0.19
19	928	0.9
19	887	0.42
19	8468	0.177
19	836	0.17
19	784	0.215
19	767	0.192
19	753	0.165
19	750	0.907
19	7420	0.861
19	72	0.44
19	681	0.33
19	348154	0.178
19	370	0.202
43	970	0.298
43	51	0.997
43	9378	0.154
43	441	0.911
43	887	0.21
43	96	0.9
43	83697	0.156
43	784	0.911
43	78168	0.216
43	764	0.195
43	760	0.912
43	753	0.257
43	750	0.931
43	928	0.9
43	724	0.919
43	743	0.294
43	586	0.243
43	588	0.256
43	597	0.325
43	525	0.33
43	6342	0.15
43	6453952	0.156
43	65065	0.291
43	702	0.204
43	602	0.287
47	979	0.215
47	743	0.153
47	970	0.177
47	928	0.9
47	83697	0.328
47	8314	0.914
47	7991	0.178
47	784	0.8
47	750	0.386
47	7284	0.917
47	586	0.164
47	49	0.999
47	51	0.93
47	546304	0.272
47	58	0.506
47	602	0.465
47	6426901	0.216
47	64969	0.153
47	6590	0.153
47	997	0.41
47	70	0.994
47	99823	0.329
47	69698	0.208
47	69362	0.174
49	928	0.9
49	99823	0.523
49	997	0.945
49	979	0.923
49	970	0.343
49	964	0.179
49	9378	0.151
49	525	0.294
49	586	0.175
49	58	0.602
49	602	0.95
49	6054	0.152
49	6560	0.936
49	6561	0.933
49	51	0.943
49	683	0.21
49	867	0.155
49	6590	0.34
49	849	0.156
49	83697	0.388
49	7803	0.151
49	760	0.272
49	827	0.155
49	750	0.443
49	724	0.284
49	71	0.215
49	70	0.994
49	702	0.151
49	69362	0.24
49	753	0.157
51	64956	0.93
51	602	0.975
51	604	0.321
51	618	0.151
51	6212	0.3
51	6342	0.33
51	64960	0.154
51	68152	0.174
51	65065	0.428
51	65072	0.9
51	6561	0.9
51	668	0.272
51	673	0.208
51	681	0.914
51	683	0.386
51	64969	0.171
51	6329	0.825
51	790	0.214
51	70	0.963
51	867	0.593
51	875	0.178
51	880	0.454
51	887	0.454
51	888	0.93
51	892	0.326
51	92258	0.17
51	923	0.437
51	92832	0.9
51	928	0.958
51	92904	0.9
51	932	0.9
51	934	0.43
51	936	0.15
51	9378	0.379
51	943	0.343
51	947	0.244
51	964	0.9
51	967	0.26
51	96	0.9
51	970	0.983
51	971	0.408
51	979	0.95
51	985	0.351
51	98	0.92
51	997	0.943
51	998	0.909
51	864	0.531
51	702	0.743
51	849	0.934
51	836	0.9
51	712	0.949
51	71629	0.8
51	71	0.944
51	724	0.971
51	7284	0.907
51	7341	0.152
51	743	0.967
51	750	0.96
51	751	0.292
51	753	0.562
51	757	0.938
51	760	0.974
51	763	0.154
51	764	0.297
51	767	0.944
51	774	0.9
51	778	0.317
51	780	0.932
51	78168	0.847
51	783	0.937
51	784	0.955
51	78821	0.952
51	597	0.945
51	798	0.154
51	811	0.217
51	813	0.258
51	827	0.384
51	83944	0.369
51	5971	0.9
51	975	0.33
51	58	0.936
51	515	0.155
51	5202	0.9
51	525	0.991
51	5280343	0.9
51	5280443	0.9
51	5280445	0.8
51	5280863	0.9
51	5281607	0.8
51	5281672	0.9
51	595	0.194
51	5610	0.19
51	5699	0.909
51	586	0.437
51	587	0.236
51	588	0.318
51	5281	0.208
58	71	0.209
58	997	0.505
58	98	0.151
58	979	0.175
58	970	0.388
58	964	0.387
58	928	0.9
58	878	0.979
58	83697	0.23
58	7991	0.155
58	767	0.909
58	778	0.943
58	7755	0.168
58	760	0.387
58	753	0.162
58	750	0.216
58	7420	0.174
58	6560	0.17
58	702	0.15
58	70	0.459
58	783	0.9
58	724	0.209
58	602	0.294
70	7755	0.273
70	985	0.314
70	979	0.239
70	970	0.31
70	928	0.9
70	92258	0.196
70	88412	0.167
70	83697	0.58
70	997	0.787
70	7991	0.23
70	763	0.153
70	753	0.21
70	750	0.359
70	743	0.172
70	7341	0.357
70	7284	0.201
70	71	0.271
70	767	0.326
70	99823	0.388
71	9958	0.217
71	7420	0.23
71	743	0.957
71	760	0.15
71	780	0.326
71	8468	0.354
71	849	0.599
71	928	0.9
71	970	0.96
71	997	0.184
71	999	0.151
71	72	0.577
72	928	0.9
72	931	0.208
72	932	0.327
72	943	0.18
72	970	0.173
72	996	0.271
72	979	0.153
72	9917980	0.208
72	9958	0.467
72	91	0.355
72	997	0.172
72	999	0.3
72	978	0.151
72	887	0.388
72	836	0.21
72	875	0.155
72	873	0.196
72	867	0.166
72	8468	0.975
72	8058	0.172
72	778	0.9
72	767	0.907
72	753	0.301
72	7500	0.151
72	7456	0.157
72	7420	0.955
72	784	0.926
72	783	0.9
72	785	0.151
72	8857	0.218
72	780	0.419
72	72304	0.152
86	887	0.217
86	934	0.151
86	94216	0.193
91	928	0.9
91	9958	0.185
91	996	0.208
91	999	0.345
96	975	0.388
96	985	0.154
96	996	0.209
98	996	0.19
107	7991	0.189
107	798	0.151
107	7921	0.211
107	7420	0.179
107	780	0.153
107	8468	0.258
107	7413	0.155
107	783	0.9
107	887	0.156
107	9378	0.257
107	91	0.579
107	928	0.9
107	932	0.157
107	72	0.235
107	9958	0.15
107	996	0.176
107	997	0.262
107	999	0.529
107	240	0.56
107	8892	0.177
107	702	0.151
107	175	0.215
107	6341	0.326
107	152323	0.506
107	68144	0.178
107	14925	0.172
107	14340	0.23
107	135	0.3
107	127	0.343
107	126	0.152
107	1140	0.297
107	10742	0.153
107	241	0.272
107	244	0.561
107	264	0.177
107	283	0.392
107	2879	0.466
107	12736	0.173
107	2969	0.528
107	3744	0.274
107	359	0.156
107	379	0.326
107	289	0.152
107	464	0.261
107	3848	0.178
