chemial1	chemial2	score
760	5610	0.82238477
11005	439606	0.412644232
70694	760	0.633648487
3776	18827	0.930306999
24020	2733785	0.403705662
105143	9061	0.446560013
7965	31246	0.593671111
79718	6213	0.215942745
4455	7824	0.624615879
12401	428	0.314317695
650	4046492	0.4992364
31276	12389	0.877742042
68340	4911	0.440302404
60983	246164	0.016198344
98468	673	0.333693129
96757	66141	0.445401561
14925	2148	0.65010751
8093	2969	0.62147416
4060215	7362	0.938331496
5259589	402	0.154402699
674	783	0.737763614
10393	5282160	0.163891054
2752054	10494	0.608536266
67427	1052	0.619445393
16064	440946	0.872164461
263	24642	0.411236867
5202	12024	0.54059467
88299	5280373	0.438365741
15600	7393	0.707998456
305	147608	0.078189073
784	19310	0.981668598
7895	181511	0.513929819
12530	597	0.066817569
53297338	7237	0.877456574
119	887	0.03486002
1090	7362	0.683044241
10805	6569	0.730731249
967	4075	0.955745494
23847	1254	0.693332062
8063	6453952	0.953049476
100532	80642	0.56058227
11266	530422	0.644119571
5318980	4091	0.936690229
152416	7824	0.581255652
102030	847	0.706571882
7456	21863	0.110379393
1103	673	0.59742966
7983	4737557	0.864127876
26612	5488186	0.673165894
27476	14986	0.374071731
70095	1183	0.659792154
115245	68340	0.114984255
1146	10457	0.947319736
283	1081	0.016859555
668	79437	0.846232321
107	8003	0.353630715
469	65095	0.0824599
934	64981	0.812915566
111	151014	0.138612452
13185	5282102	0.140858353
978	10296	0.18042346
595	11970	0.710524256
767	8215	0.083297801
73917	916	0.22355334
136487	160437	0.298264542
18189	263475	0.771682432
496	5280637	0.190238226
180	3446	0.328115642
31291	8085	0.650434117
66141	7731	0.765498909
6212	936	0.095009829
53297338	1169	0.830267896
207	26049	0.208115176
92829	4911	0.514124843
89472	513197	0.566829211
107848	8141	0.154970875
92105	181511	0.63611406
305	7762	0.438993394
335	5280378	0.030708985
6341	26613	0.209371769
79070	262	0.825382778
7407	181976	0.778080446
9862	193530	0.51700419
69362	69362	0.199184322
11163	24526	0.743897362
668	199	0.985142065
96384	52925131	0.84009822
88454	5280805	0.929273983
827	1563	0.15832365
26612	5281612	0.904152029
123694	650	0.437652774
4065033	102030	0.688038937
588	4075	0.172941923
650	11509	0.339330106
127	121948	0.040300102
774	207	0.352509773
1021	440993	0.412698424
7342	8030	0.370551907
115089	5488186	0.231244447
784	168379	0.114633046
26612	504	0.727995791
89472	1670	0.015680268
16900	92829	0.253043532
712	334517	0.669193351
6348	6212	0.699065657
26612	1123	0.520889447
10469	133098	0.314635573
14514	10634	0.694504246
1188	24415	0.4439273
321710	61020	0.275319964
280	12297	0.562051147
37764	7500	0.552734602
129846	1174	0.048562788
4671	31291	0.938718637
8857	649	0.808846603
6325610	385	0.089184235
2094	27902	0.469633457
813	96373	0.976181306
61138	100528	0.658683368
348154	449	0.413222722
4075	10253	0.666446135
334517	4687	0.458880649
4091	2024	0.293161347
9895	8063	0.789148556
4911	1032	0.910125941
11583	798	0.762624004
4096934	5202	0.619652888
6568	73212	0.775186371
10542	31265	0.409657084
102960	6568	0.973838267
69362	1125	0.190845862
7909	10459	0.484794046
89472	123929	0.007955807
5284649	119	0.455749552
20534	5570	0.222639976
131760	45479248	0.964245137
2758	329275	0.817504235
12587	11492	0.847294933
1110	92258	0.451175009
12097	6276	0.346477486
15047	2024	0.369869664
3469	1021	0.174799699
16592	136487	0.762339429
7826	58	0.664682206
123543	61020	0.968154696
16900	4911	0.625329646
6568	496	0.211350508
69421	94235	0.364467169
673	26612	0.059053355
681	23535	0.278413766
13895	3081033	0.513374243
70346	903	0.925651677
140709	903	0.753486456
80642	528708	0.048976369
11492	873	0.669469543
4171	8082	0.284224811
5971	92997	0.384290973
334517	999	0.592801672
750	107802	0.127558337
975	5318980	0.369373667
178	5284649	0.743289622
464	65037	0.292702956
24526	3744	0.514146905
3621685	88412	0.062660961
441447	246728	0.737596377
8215	69421	0.413866191
91469	5058636	0.881042469
798	604	0.663338875
11266	47579	0.149687914
6590	47	0.69189163
102030	5281377	0.321507422
1983	92904	0.718723255
274	119593	0.070191888
100048	20393	0.140295821
9903	12391	0.354714786
2181	18218240	0.803131211
2080	78798	0.244434233
379	1198	0.281493442
10257	558	0.092742233
65727	7800	0.546875628
446715	15816	0.723475211
31291	780	0.561696266
122281	189028	0.334421215
222	5312	0.941509255
89472	487	0.078989913
8003	435949	0.036423637
53477741	7010587	0.565383254
7866	11005	0.446019342
89472	813	0.29107605
10457	20484	0.384729133
7500	2181	0.856705168
53915061	778	0.864966392
7725	83126	0.925451168
12266	178	0.499610333
10256	69698	0.387368198
6341	836	0.322186142
204	312	0.21660541
10457	21863	0.109718147
10457	1146	0.240089988
4682588	151223	0.912988314
3520	11230	0.522936773
7407	152416	0.687326155
9903	88412	0.076315207
1148	413	0.284644855
99463	7393	0.44907498
26049	412	0.342581266
12100	3032822	0.465538028
14896	4060215	0.201289681
8093	8129	0.090795904
14986	9862	0.723508908
6342	417360	0.021524834
6213	10469	0.395697558
4657542	7284	0.865896184
97417	439264	0.551273167
880	24874	0.686389413
7997	750	0.530626124
263475	23847	0.015872859
1237	69217	0.28157885
7172	12046	0.87442631
240	931	0.364699513
932	750	0.479568735
185	292427	0.039729346
1081	454	0.430285262
100532	83697	0.417574878
435728	12391	0.869417606
335	37764	0.026434553
14124	43	0.767143406
144746	7725	0.319532211
1148	11266	0.65863973
11266	5246012	0.3468932
418041	10976	0.341859946
750	2733785	0.033847135
520298	8158	0.447688636
98207	65512	0.376439513
168381	107	0.3332939
83939	179	0.755915983
813	8194	0.435519533
180	8299	0.774722418
119593	9950514	0.074837317
8129	7929	0.094487014
10457	11387	0.994072197
100048	338	0.221478379
1254	597	0.955987443
70630	8052	0.614964556
6342	79437	0.869284963
1256	119593	0.869786874
16663321	196	0.90884991
31253	69362	0.092970048
500	107802	0.98958315
239	1031	0.228470326
95433	19707	0.159835998
7450	7967	0.681057329
867	8094	0.538695901
3848	1045	0.572209675
97417	4911	0.165997662
1059	7965	0.935189797
3032822	19310	0.891453567
17525	8182	0.740523697
64960	20534	0.101730672
1018	7413	0.783105701
12232	152204	0.881162343
31272	1662	0.956829992
86957	4414300	0.431621375
79094	5281656	0.446577491
289	7725	0.923749931
4685	26612	0.333763606
10812	10855600	0.451987722
26840	12530	0.381756489
4657542	185914	0.641239137
5246012	18189	0.192078199
122281	1670	0.922374575
8194	8063	0.604682054
9679	78168	0.517067644
10855600	274	0.161791071
107649	8908	0.587414066
8908	1150	0.270823889
92829	4091	0.773952428
83126	12046	0.709122764
418041	79094	0.489673769
10542	5281656	0.805018268
7237	162976	0.521291954
3014237	246728	0.819164596
480764	978	0.997622957
12122	70346	0.357220486
8814	18189	0.17845534
8908	45479248	0.361765379
1000	187	0.145294493
73212	187	0.625945545
1021	151023	0.803234527
123886	100528	0.308560925
90246	69114	0.989813333
72	783	0.144745354
970	297	0.051576366
151014	8180	0.127590948
8892	78168	0.074250335
1054	867	0.664514613
107	12391	0.068771186
7175	521300	0.726542847
227939	469	0.785237096
2682	96757	0.098653745
89472	650	0.499490169
7770	61030	0.055588322
8082	5280459	0.474978351
83697	86609	0.822042768
79718	439264	0.394032792
31229	170748	0.903826249
151223	849	0.602408285
177	774	0.551807105
321710	8082	0.76293301
10634	16592	0.376988272
558	71629	0.362140231
604	64945	0.469641479
126	95433	0.379120172
82640	4060215	0.926859984
105143	379	0.712999304
12187	71629	0.107001785
87076413	8200	0.097491615
261	64981	0.572205181
10931	439207	0.899875633
6213	6426901	0.536681726
760	122312	0.336403261
5280805	10634	0.719572065
7770	8892	0.599741514
500	7463	0.928448431
100532	151223	0.612314094
92817	6228	0.492430105
12530	2080	0.464427197
11756	7015703	0.42403371
439270	2024	0.823839446
8175	3421919	0.421517924
80220	169485	0.210755955
426318	7826	0.097589887
79718	971	0.993203046
1178	11361	0.60234471
37764	1068	0.015730389
107738	10812	0.019073876
15816	522556	0.116027565
6213	12097	0.608571475
520298	8194	0.430935804
74426	12508	0.860091824
151138	790	0.013729008
160471	558	0.198542532
1090	73399	0.535664411
5255	24415	0.954449454
487	435949	0.532500319
763	5280637	0.702320649
4420322	136810	0.774749118
1031	8209	0.157550742
5281656	763	0.614375274
151138	8914	0.653095648
10442	189087	0.783309947
1031	8085	0.414127039
12122	10459	0.492226428
12681285	1176	0.131767055
100048	10467	0.098504881
8063	7501	0.599177542
193872	525	0.405358097
1169	7393	0.532661194
78798	47579	0.734640628
5246012	1183	0.711276202
3744	36247	0.473746447
122166	88299	0.939706926
9856500	12122	0.244090344
5281708	7826	0.167106475
10742	649	0.314016868
7997	80220	0.511302535
150929	27902	0.726503852
440946	359	0.465534985
8182	227939	0.207209037
12530	52925131	0.373522112
412	1014	0.793021014
151138	10257	0.685605805
1178	2080	0.358637706
7015703	1015	0.155065071
26840	9813855	0.866639992
94235	7762	0.180868722
11039	5312	0.180563905
83944	999	0.849068269
70694	123886	0.080848145
2969	813	0.843580135
79089	69726	0.826909779
86	7500	0.073055435
15103	305	0.42247577
613145	2682	0.708550403
187808	999	0.832890646
8468	69522	0.82869325
12266	7720	0.625707155
618	1123	0.552165199
1030	29109	0.129273772
5280445	4685	0.582430226
7731	12024	0.566464644
10494	15380	0.489921273
8058	8028	0.253751032
204	88299	0.875213148
520298	4420322	0.869813018
460	99463	0.922596928
12389	10349	0.915348626
65154	480764	0.082975324
19310	19707	0.246118329
26613	6781	0.598501283
92258	932	0.01800583
836	107802	0.262994941
1169	1256	0.867063044
7500	151152	0.49262474
305	7410	0.008681158
778	457	0.417525131
903	7755	0.003752465
9917980	10686	0.605461062
178	1005	0.230341005
56842207	449	0.257080532
61184	92904	0.385976894
27902	11222	0.136103966
261	7770	0.518851127
440949	102960	0.94412221
932	60983	0.809027606
98207	8207	0.312174326
7501	996	0.088050473
160562	6569	0.813720292
16592	167627	0.496257386
131760	329275	0.038610898
115089	6184	0.373804282
1176	102960	0.097302747
68310	9958	0.154320147
18827	151012	0.150603286
145068	199	0.656512059
92997	5282102	0.175011375
10459	8175	0.272739436
19707	13895	0.622437822
784	65131	0.851692805
79437	6539217	0.306209752
11463	18648	0.181205895
26840	117477	0.928901936
1673	8853	0.69084812
1059	743	0.404702481
2526	328	0.315184992
613145	8129	0.515010298
93078	5253209	0.05481171
9831622	439552	0.86170452
4420322	79718	0.048566169
7456	11583	0.896862719
21488	28486	0.358623554
7725	86957	0.690853676
115089	264	0.806307243
7826	24874	0.322328027
441447	24874	0.200662952
7461	53477741	0.962697497
10812	27476	0.665894102
932	11551966	0.825566742
176907	21863	0.529796517
1125	222	0.827629534
4685	7725	0.711846161
8914	674	0.979869976
6396	440949	0.987225632
7463	280	0.586709829
7965	11520	0.120013537
69417	7172	0.470901448
4685	246728	0.148897675
92105	7407	0.788362959
12530	587	0.776153846
222786	9856500	0.197247934
11970	69362	0.530880154
8209	246728	0.513488494
5281612	6426901	0.112815048
1015	23535	0.389138933
329275	7015703	0.835234594
162976	6344	0.61511917
19602	7015703	0.06798689
11463	7824	0.314769029
68152	780	0.945536023
417358	119593	0.792540903
179	11622	0.731661546
12702257	88454	0.644756402
6560	145068	0.252383442
947	281	0.300647528
10430	500	0.214428386
19707	176907	0.3984744
8857	790	0.213166094
356	5280459	0.258738524
10494	65076	0.309596272
18189	379	0.70665183
100048	7284	0.89757556
6344	2682	0.911583292
10932	83126	0.257767809
6989	4678	0.251576541
496	58	0.072284562
2519	138	0.069610743
7770	11463	0.425723398
11387	12681285	0.765910906
11509	10819	0.335887167
1005	64969	0.614970837
8175	329275	0.414300991
12180	181511	0.525673674
11552	117477	0.976960089
12122	8207	0.114492548
65373	62434	0.625939825
88454	11747	0.095910073
530422	160645	0.009017708
94180	784	0.326169799
79089	546304	0.672194721
6989	1060	0.673479125
133098	65095	0.228903334
7795	23535	0.841286058
440776	4171	0.814906951
125	263475	0.262508623
92258	1060	0.209872424
9856500	137	0.891732625
133098	10976	0.48502462
96	95433	0.11653114
1001	9061	0.564591932
69417	12401	0.908292702
94216	3440	0.794332967
439552	18218240	0.25822827
66520	83939	0.711855491
450268	978	0.508761915
5280442	13895	0.408327343
767	8814	0.696071766
17525	100048	0.706172775
9950514	160645	0.80297123
65373	90246	0.417826436
19602	3520	0.633714651
71629	8914	0.940932418
22556	998	0.055830826
26612	558	0.025926735
446715	435718	0.480884773
11736661	72304	0.933116653
180	440776	0.331831119
261	79101	0.652393137
65072	5570	0.841364623
10413	5699	0.250805075
6344	8103	0.522877828
79089	60983	0.415101804
10819	9838356	0.094334028
68144	1669	0.053453565
8814	11747	0.556801121
10111	61138	0.081199294
6213	757	0.420872674
10253	439207	0.205686641
441	3014237	0.315899076
440946	724	0.651261002
440946	14925	0.994871799
12025	1088	0.05655689
8314	5280373	0.646864741
1175	181511	0.089512371
2682	7749	0.697068082
6781	1066	0.997060604
58	19602	0.890368849
12284	1738	0.844428833
4414300	10972	0.756526183
11197	5259589	0.151801338
10976	1150	0.648247181
14340	323786	0.81829035
281	10459	0.484896354
5281693	3083779	0.868588804
323786	504	0.515185406
928	5143	0.282633326
2733785	123543	0.174267173
139506	10742	0.631624462
10349	244	0.415062833
500	12284	0.435679479
440946	10257	0.180083868
413	79070	0.51183999
1198	416721	0.580274831
849	10797	0.963363051
88412	1188	0.084678601
168381	618	0.013929477
8908	150929	0.985538847
204	23284	0.106975102
273	244	0.829177509
311	2526	0.313759758
12389	2080	0.404857121
263	5281675	0.261541099
8051	10430	0.072364631
8063	849	0.557691248
66141	174	0.094168855
767	3032822	0.710378866
13357	2080	0.657826838
784	82640	0.852131264
10703	867	0.906994017
11361	31246	0.549183791
5280805	92918	0.42309165
1662	121948	0.473820611
888	7967	0.52906981
454064	5246009	0.427686353
86	525	0.418497871
751	2682	0.30455771
9838356	3440	0.796998117
151152	7175	0.423643285
65131	1826	0.585411058
5281673	9378	0.788353843
31291	10393	0.17982527
152416	117477	0.908127766
10931	2094	0.584153261
18218246	261	0.524715115
339	86957	0.255252477
7456	3776	0.354937307
7720	8175	0.573915668
440949	892	0.192567608
97417	11492	0.886993509
12180	440776	0.649688879
8129	7456	0.760405887
21100	274	0.565961835
670	9813855	0.704805951
9917980	312	0.371109294
6781	13849	0.268659807
12367	12389	0.593117698
11492	1123	0.324825482
17085	338	0.350586165
3672	8858	0.326346818
43	289	0.125138233
10976	169148	0.951386721
439606	9903	0.953082329
10972	26613	0.510020178
