species,PubChem
Christensenella minuta,5793
Christensenella minuta,439503
Christensenella minuta,135191
Christensenella minuta,439195
Christensenella minuta,25310
Christensenella minuta,18950
Enterococcus sp.,5281675
Clostridium scindens,439520
Clostridium scindens,221493
Clostridium scindens,10133
Haemophilus parainfluenzae,5997
Faecalibacterium prausnitzii,5997
Eubacterium ramulus,5280637
Eubacterium ramulus,439533
Eubacterium ramulus,4788
Eubacterium ramulus,5280445
Eubacterium ramulus,439246
Eubacterium ramulus,440735
Eubacterium ramulus,5280863
Eubacterium ramulus,5280805
Eubacterium ramulus,5280343
Eubacterium ramulus,5280804
Clostridium sp.,5281708
Clostridium sp.,107971
Slackia sp.,5281708
Escherichia coli,5793
Escherichia coli,107735
Clostridium orbiscindens,147608
Eubacterium ramulus,168008
Eubacterium ramulus,147608
Eggerthella sp.,5281708
Eggerthella sp.,176907
Lactobacillus mucosae,5281708
Enterococcus faecalis,5281708
Finegoldia magna,5281708
Eggerthella lenta,9064
Eggerthella lenta,72276
Flavonifractor plautii,21722175
Escherichia coli,5280805
Clostridium orbiscindens,439533
Clostridium orbiscindens,5280343
Clostridium orbiscindens,440735
Clostridium orbiscindens,5280445
Clostridium orbiscindens,5280443
Clostridium orbiscindens,932
Clostridium orbiscindens,4788
Slackia faecicanis,5281708
Phascolarctobacterium succinatutens,160419
Slackia isoflavoniconvertens,5281708
Slackia isoflavoniconvertens,5280961
Eubacterium ramulus,44257273
Eubacterium ramulus,5280961
Eubacterium ramulus,5281708
Eubacterium limosum,513197
Citrobacter freundii,305
Citrobacter freundii,1146
Bifidobacterium pseudocatenulatum,10621
Eggerthella sp.,9064
bacterium MRG-IFC-1,5281807
bacterium MRG-IFC-2,5281807
Enterococcus casseliflavus,5280804
Eggerthella lenta,5281708
Eggerthella sinensis,5281708
Eggerthella hongkongensis,5281708
Adlercreutzia equolifaciens,5281708
Adlercreutzia equolifaciens,176907
Succinivibrio dextrinosolvens,5793
Blautia sp.,88881
Blautia sp.,79730
CEBAS 4A1,5281855
CEBAS 4A2,5281855
CEBAS 4A3,5281855
CEBAS 4A4,5281855
Bacteroides thetaiotaomicron,5793
Clostridium sporogenes,6047
Clostridium sporogenes,144
Clostridium sporogenes,6305
Clostridium sporogenes,6057
Escherichia sp.,11016019
Clostridioides difficile,446598
Slackia equolifaciens,445154
Adlercreutzia equolifaciens,445154
Dictyostelium discoideum,123886
Bifidobacterium longum,44630346
Slackia equolifaciens,70267806
Escherichia coli,107971
Escherichia coli,5281377
Escherichia coli,5281708
Escherichia coli,5280961
Alistipes indistinctus,5793
Odoribacter laneus,5793
Paraprevotella clara,5793
Paraprevotella xylaniphila,5793
Lactobacillus paracasei,5280450
Bacteroides sp.,5280459
Acidipropionibacterium acidipropionici,5780
human intestinal bacterium SNU-Julong732,176907
Eubacterium limosum,5280373
Eubacterium limosum,5280378
Eubacterium limosum,5317750
Lactobacillus plantarum,65064
Escherichia coli,1794427
Bifidobacterium animalis,1794427
Lactobacillus gasseri,1794427
Lactobacillus fermentum,5793
Weissella confusa,5793
Weissella confusa,2723872
Saccharomyces cerevisiae,5793
Saccharomyces cerevisiae,2723872
Eubacterium rectale,175
Clostridium pasteurianum,5793
Lactococcus sp.,5281708
Bacteroides sp.,5281647
Bacillus sp.,5280805
Bacteroides sp.,5280805
Veillonella sp.,5280805
Ruminococcus bromii,56842207
Bifidobacterium longum,107848
Bacteroides fragilis,107848
Lactobacillus plantarum,5280450
Bifidobacterium dentium,5280805
Bifidobacterium dentium,442456
Lactobacillus paracasei,72304
Bifidobacterium catenulatum,440994
Bifidobacterium catenulatum,9800166
Catenibacillus scindens,5281807
Catenibacillus scindens,5280441
Catenibacillus scindens,89472
Catenibacillus scindens,20601635
Flavonifractor plautii,1530
Blautia obeum,1530
Anaerobutyricum hallii,1530
Lactobacillus reuteri,1530
Enterococcus avium,5280805
Adlercreutzia equolifaciens,72276
Asaccharobacter celatus,72276
Slackia equolifaciens,72276
Slackia isoflavoniconvertens,72276
Adlercreutzia equolifaciens,9064
Asaccharobacter celatus,9064
Slackia isoflavoniconvertens,9064
Bifidobacterium bifidum,5281708
Bifidobacterium longum,9898279
Bifidobacterium longum,87691
Bifidobacterium longum,100528
Bifidobacterium longum,440936
Escherichia coli,6305
Bifidobacterium  pseudocatenulatum,107971
Bifidobacterium longum,107971
Bifidobacterium adolescentis,107971
Bifidobacterium  catenulatum,107971
Bifidobacterium breve,107971
Bifidobacterium  pseudocatenulatum,5281377
Bifidobacterium longum,5281377
Bifidobacterium  adolescentis,5281377
Bifidobacterium  catenulatum,5281377
Bifidobacterium breve,5281377
Bifidobacterium  pseudocatenulatum,187808
Bifidobacterium longum,187808
Bifidobacterium  adolescentis,187808
Bifidobacterium  catenulatum,187808
Bifidobacterium breve,187808
Bifidobacterium  pseudocatenulatum,5282102
Bifidobacterium longum,5282102
Bifidobacterium  adolescentis,5282102
Bifidobacterium  catenulatum,5282102
Bifidobacterium breve,5282102
Emergencia timonensis,71314459
Clostridium sporogenes,6140
Peptostreptococcus anaerobius,6305
Clostridium cadaveris,6305
Streptococcus mutans,736715
Eggerthella lenta,736715
Bacteroides stercoris,9918693
Eubacterium sp.,9918693
Fusobacterium sp.,9918693
Eubacterium sp.,119307
Fusobacterium sp.,119307
Fusobacterium sp.,46887680
Bacteroides stercoris,46887680
Bacteroides stercoris,54580480
Blautia sp.,64981
Roseburia inulinivorans,17106
Collinsella tanakaei,5793
Succinatimonas hippei,5793
Bacillus sp.,5490064
Bacillus sp.,5280343
Clostridium scindens,5793
Butyricimonas virosa,5793
Butyricimonas synergistica,5793
Adlercreutzia equolifaciens,73160
Clostridium asparagiforme,5793
Escherichia sp.,5281673
Enterococcus sp.,5281673
Blautia faecis,5793
Dialister succinatiphilus,160419
Barnesiella intestinihominis,5793
Enterococcus sp.,5280637
Ruminococcus champanellensis,10712
Bacteroides fragilis,5281708
Bacteroides ovatus,5281708
Bacteroides stercoris,5281708
Bacteroides thetaiotaomicron,5281708
Bacteroides uniformis,5281708
Phocaeicola vulgatus,5281708
Clostridium sp.,9917980
Bacteroides fragilis,9917980
Parabacteroides distasonis,9917980
Bacteroides ovatus,9917980
Eggerthella lenta,332427
Eggerthella lenta,73399
Blautia producta,119205
Blautia producta,65373
Eubacterium sp.,65373
Clostridium scindens,65373
Eggerthella lenta,65373
Enterococcus faecalis,73399
Eubacterium ramulus,932
Eubacterium ramulus,5280960
Eubacterium ramulus,5280443
Parabacteroides distasonis,5281693
Bacteroides uniformis,5280805
Bacteroides ovatus,5280805
Streptococcus intermedius,5281708
Blautia producta,5281708
Enterococcus faecium,5281708
Limosilactobacillus mucosae,5281708
Veillonella sp.,5281708
Blautia producta,176907
Christensenella minuta,175
Christensenella minuta,264
