group	auc	aupr
Bacteroidetes	0.976	0.966
Bacteroidetes	0.974	0.962
Bacteroidetes	0.963	0.936
Bacteroidetes	0.963	0.938
Bacteroidetes	0.961	0.944
Bacteroidetes	0.972	0.956
Bacteroidetes	0.963	0.946
Bacteroidetes	0.968	0.954
Bacteroidetes	0.96	0.932
Bacteroidetes	0.976	0.962
Bacteroidetes	0.962	0.932
Bacteroidetes	0.977	0.963
Bacteroidetes	0.965	0.934
Bacteroidetes	0.983	0.973
Bacteroidetes	0.961	0.926
Bacteroidetes	0.966	0.951
Bacteroidetes	0.957	0.938
Bacteroidetes	0.965	0.94
Bacteroidetes	0.945	0.925
Bacteroidetes	0.967	0.927
