group	auc	aupr
Bacteroidetes	0.984	0.957
Bacteroidetes	0.967	0.952
Bacteroidetes	0.977	0.962
Bacteroidetes	0.978	0.967
Bacteroidetes	0.974	0.943
Bacteroidetes	0.983	0.963
Bacteroidetes	0.977	0.952
Bacteroidetes	0.972	0.951
Bacteroidetes	0.989	0.978
Bacteroidetes	0.982	0.971
Bacteroidetes	0.975	0.959
Bacteroidetes	0.981	0.973
Bacteroidetes	0.982	0.972
Bacteroidetes	0.978	0.958
Bacteroidetes	0.975	0.951
Bacteroidetes	0.972	0.941
Bacteroidetes	0.97	0.943
Bacteroidetes	0.973	0.963
Bacteroidetes	0.969	0.955
Bacteroidetes	0.968	0.939
