group	auc	aupr
disease of metabolism	0.896	0.848
disease of metabolism	0.924	0.893
disease of metabolism	0.911	0.883
disease of metabolism	0.899	0.864
disease of metabolism	0.881	0.814
disease of metabolism	0.922	0.877
disease of metabolism	0.892	0.847
disease of metabolism	0.913	0.873
disease of metabolism	0.931	0.884
disease of metabolism	0.905	0.882
disease of metabolism	0.923	0.886
disease of metabolism	0.918	0.85
disease of metabolism	0.892	0.815
disease of metabolism	0.911	0.875
disease of metabolism	0.909	0.876
disease of metabolism	0.893	0.863
disease of metabolism	0.9	0.842
disease of metabolism	0.903	0.835
disease of metabolism	0.92	0.883
disease of metabolism	0.873	0.848
